email,time_homework,time_lectures,module,time_homework_homework-01b,time_lectures_homework-01b,module_homework-01b,time_homework_homework-02,time_lectures_homework-02,module_homework-02,time_homework_homework-03,time_lectures_homework-03,module_homework-03,time_homework_homework-04,time_lectures_homework-04,module_homework-04,time_homework_homework-05,time_lectures_homework-05,module_homework-05,time_homework_homework-06,time_lectures_homework-06,module_homework-06,time_homework_homework-piperider,module_homework-piperider,time_evaluate,module_project-01-eval,time_project,module_project-01-submissions,time_evaluate_project-02-eval,module_project-02-eval,time_project_project-02-submissions,module_project-02-submissions,user_id
1ad4f60f6547275ce78075ef9a939a9c15e757d8,1.0,10.0,homework-01a,1.0,10.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,105
1bc379498ec49e3e8e7dbe785d63910ba9e226bd,,,,2.0,3.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,106
1c4eb0f9b7be5afd9b37a1e414560fe401625457,1.0,2.0,homework-01a,1.0,1.0,homework-01b,2.0,5.0,homework-02,1.0,3.0,homework-03,3.0,5.0,homework-04,2.0,3.0,homework-05,0.0,0.0,homework-06,,,,,,,,project-02-eval,,project-02-submissions,107
1c9419801725ef537c1ea30ee02b57b71974ebf9,3.0,2.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
1c944a471f714a2cb9cadafac3af4ee4481e2ceb,3.0,6.0,homework-01a,3.0,6.0,homework-01b,4.0,6.0,homework-02,6.0,8.0,homework-03,0.0,0.0,homework-04,4.0,8.0,homework-05,3.0,6.0,homework-06,,,,,48.0,project-01-submissions,,,,,109
1cbbcfc944cf983d6c4cdd005284f2fe1e3995e8,1.0,4.0,homework-01a,1.5,2.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,110
1cbc872fdae7074b09bcdffb7056693a436e4efb,2.0,8.0,homework-01a,2.0,8.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,111
1cdd017d77813059eb36d65fd32da49d91b07c46,4.0,2.0,homework-01a,4.0,2.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,112
1d2a51c94b69fd39447f2a4c357ebfc918286e47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project-02-eval,,,113
1d439f5643834d4e0a3727b4f8c230977f788fc5,0.0,0.0,homework-01a,0.0,0.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,114
1d7e24b0786053164b43333dd7fdacf052fafce9,15.0,5.0,homework-01a,,,,15.0,8.0,homework-02,5.0,2.0,homework-03,0.0,0.0,homework-04,15.0,5.0,homework-05,0.0,0.0,homework-06,,,,,,,2.3333333333333335,project-02-eval,168.0,project-02-submissions,115
